id,area,journey,steps,acceptance,alternate_or_failure_states,verification,priority,release_0_1_7_evidence
J18,Composer,Failed send recovery,Send > provider or IPC error > retry,Draft and attachments remain; no duplicate messages,Disk failure; missing provider; cancelled request,Source; fault injection pending,P1,Controller outcome/redirect tests; duplicate submit guard and shared stop feedback; live cancellation matrix remains pending
J19,Composer,Project preflight,Development request with no project > choose project,Retain message; explain exact needed scope,Negation; project discussion vs modification,Source + preflight fixture; language matrix pending,P1,Existing preflight intent tests retained; preflight-access Electron case
J20,Composer,Command preflight,Command request > access explanation,Require command access only for actual command work,Spin up agents; quoted commands; mixed positive/negative intent,Live false positive F01,P1,Existing preflight intent tests retained; preflight-access Electron case
J21,Composer,Queue follow-up,While running > Enter > queue,Visible queue order and receipt; original run continues,12-item cap; images; changed project/provider,Source; live queue matrix pending,P2,Controller outcome/redirect tests; duplicate submit guard and shared stop feedback; live cancellation matrix remains pending
J22,Composer,Redirect current task,While running > Command+Enter,Immediate stopping/redirect acknowledgment; safe next turn,In-flight tool; pending approval; phone human ownership,Source; race tests exist; live pending,P1,Controller outcome/redirect tests; duplicate submit guard and shared stop feedback; live cancellation matrix remains pending
J23,Composer,Stop,Stop from composer/crew/Watch,Same outcome everywhere; clear pending cancellation,Provider wait; uncertain tool; teardown failure,Live OpenRouter stop observed,P1,Controller outcome/redirect tests; duplicate submit guard and shared stop feedback; live cancellation matrix remains pending
J24,Composer,Draft navigation persistence,Type unsent text > switch > return,No silent loss; per-chat drafts and attachments,Restart vs same-session retention; delete conversation,Live failure F05,P1,"New-session, conversation-drafts, draft-preview Electron interactions; cursor and attachment retention"
J25,Project,Choose recent project,Project picker > search > select,Correct root shown; thread continuity behavior explicit,Missing/moved folder; duplicated basename,Source + project-menu fixture,P2,Full Electron picker and compact-layout cases; model-keyboard and access Escape interactions
J26,Project,Choose/create folder,Project picker > native folder chooser,Cancel cleanly; persist only confirmed selection,Permissions; non-directory; read-only folder,Source; native chooser pending,P2,Baseline evidence retained; full renderer suite passed; no additional live check for this journey
J27,Project,No-project mode,Project picker > Don't work in a project,Text tasks work in isolated scratch context,Prompt merely mentions app/files; previous thread state,Source; language matrix pending,P1,Existing preflight intent tests retained; preflight-access Electron case
J28,Access,Read-only/workspace/full,Access picker > inspect > select,Provider-specific wording; no implicit escalation,No remote commands; active run; save failure,Live read-only selection; access fixture,P1,Full Electron picker and compact-layout cases; model-keyboard and access Escape interactions
J29,Access,Dismiss access picker,Open > Escape/outside click,Escape closes and returns focus,Preflight-triggered open; nested settings,Live Escape failure F09,P2,Full Electron picker and compact-layout cases; model-keyboard and access Escape interactions
J30,Provider,Switch provider,Codex/OpenRouter > inspect model and capabilities,Explicit provider and continuity; compatible settings,Running task; disconnected provider; unsupported features,Installed UI exercised; failures pending,P2,Full Electron picker and compact-layout cases; model-keyboard and access Escape interactions
J31,Provider,Choose Codex model/reasoning,Open picker > keyboard/mouse selection,Selection visible; keyboard focus stable; failure recoverable,Unsupported model; active run; long labels,Model/reasoning fixtures + source,P2,Full Electron picker and compact-layout cases; model-keyboard and access Escape interactions
J32,Provider,Choose custom OpenRouter model,Search model > arrows > commit,Suggestions keyboard navigable; custom ID preserved,No matches; invalid ID; blur; Escape,Source keyboard gap F10; model fixture,P2,Full Electron picker and compact-layout cases; model-keyboard and access Escape interactions
J33,Provider,Credential readiness,Session settings > choose credential > refresh,Accurate readiness with no secret exposure,Missing/revoked credential; file moved; network failure,Source; credential tests; live bootstrap not performed,P1,Baseline evidence retained; full renderer suite passed; no additional live check for this journey
J34,Provider,Web setting,Session settings > web option > next request,Setting clearly applies to future request,Negative browsing instruction; provider limitations,Source; live browser-negation failure F04,P1,Full Electron picker and compact-layout cases; model-keyboard and access Escape interactions
J35,Agents,Natural delegation with Solo,Ask to spin up agents without picker,Choose suitable bounded agents and show actual work,Bare request; specific roles; count limit; global off,"Codex and OpenRouter live comparisons, F01-F03",P1,Prior 0.1.5 live no-picker checks retained; 0.1.7 live custom-role reports on Codex and OpenRouter
J36,Agents,Existing-role recommendation,Ask which agent suits task,Use actual compatible catalog and explain fit,Unknown role; empty catalog; project vs personal collision,Live wrong-context suggestion F07,P2,"Catalog matching, editable proposal, use/save/dismiss persistence and limits tests; agent-proposal Electron interactions; live native role registration verified"
J37,Agents,New-role proposal,Ask for missing specialist > review proposal,Editable role with task-use and deliberate save actions,Unsupported provider/model; invalid name; excessive scope,Live prose-only proposal F07,P2,"Catalog matching, editable proposal, use/save/dismiss persistence and limits tests; agent-proposal Electron interactions; live native role registration verified"
J38,Agents,Manual crew picker,Solo > select/unselect roles,Selected roster obvious; retain deliberate user choice,Max threads; global off; selected role deleted,Installed UI exercised; crew-select fixture,P2,Full Electron picker and compact-layout cases; model-keyboard and access Escape interactions
J39,Agents,Selected crew execution,Select two > ask distinct assignments,Real attributed starts/reports; lead synthesis,Sequential dependencies; optional roster; cancellation,"Live failure: strict delegation schema rejected before any child starts, F17",P1,Prior 0.1.5 live no-picker checks retained; 0.1.7 live custom-role reports on Codex and OpenRouter
J40,Agents,Create reusable agent,Crew > New > fields > Save,Success feedback; created role discoverable and usable,Duplicate name; invalid instructions; write denied,Source + agent-editor fixture; creation not performed,P2,"Settings-unsaved, agent editor/select/library fixtures; role lifecycle and limits tests; no installed-library mutation"
J41,Agents,Template or duplicate,Template/built-in row > edit > Save,Built-ins remain intact; new scope/name explicit,Duplicate target; cancel; inherited model,Source + agent-editor fixture,P2,"Settings-unsaved, agent editor/select/library fixtures; role lifecycle and limits tests; no installed-library mutation"
J42,Agents,Edit/delete custom agent,Custom row > edit/save or delete,Selected chats reconcile; errors preserve definition,Agent running; file removed externally; deletion cancelled,Source; tests exist; live mutation pending,P2,"Settings-unsaved, agent editor/select/library fixtures; role lifecycle and limits tests; no installed-library mutation"
J43,Agents,Global orchestration policy,Crew settings > toggle/cap/defaults,Distinguish persistent defaults from current task selection,Off clears selections; lower cap; provider mismatch,Source + agents fixture,P2,"Settings-unsaved, agent editor/select/library fixtures; role lifecycle and limits tests; no installed-library mutation"
J44,Agents,Live crew overview,Run > Overview > specialist row,Actual assigned/running/waiting/reported state,Unselected native child; duplicate event; unknown identity,Live Codex invisibility F02; crew fixtures,P1,"Full crew, task, meeting, activity and historical renderer fixtures; controller outcome tests"
J45,Agents,Tasks and reported evidence,Crew > Tasks > checks/report,Attribution and real evidence remain inspectable,Empty tasks; failure; truncated/long output,Crew-tasks fixture + visual review,P2,"Full crew, task, meeting, activity and historical renderer fixtures; controller outcome tests"
J46,Agents,Meeting/debate,Ask for challenge > Meeting > decision,Only actual contributions and supported consensus,Missing member; malformed response; interrupted meeting,Meeting fixture + existing tests; live pending,P1,"Full crew, task, meeting, activity and historical renderer fixtures; controller outcome tests"
J47,Agents,Messages between agents,Crew > Messages > report/detail,Readable sender/recipient and chronology,Encrypted payload; duplicate message; no readable body,Source + crew fixtures,P2,"Full crew, task, meeting, activity and historical renderer fixtures; controller outcome tests"
J48,Agents,Historical crew,Next turn > previous turn's crew,Preserve completed reports and computer evidence,Restart; changed roster; deleted role,Source + fixtures; live history observed,P2,"Full crew, task, meeting, activity and historical renderer fixtures; controller outcome tests"
J49,Output,Read live activity,Run > activity > expand/collapse,Useful phase language and evidence; honest waiting,No first event; high-volume tools; missing SDK detail,Live observed + activity fixtures,P2,"Full crew, task, meeting, activity and historical renderer fixtures; controller outcome tests"
J50,Output,Read earlier content during run,Scroll up > new event arrives,Reading anchor preserved; new-content affordance,Images/tables grow; crew transitions,Source unconditional-scroll issue F12,P2,"Reader-scroll Electron case through growth, session switch and resume following"
J51,Output,Copy or quote response,Copy/Reply > composer,Success feedback; exact text; existing draft retained,Clipboard denied; code/table; long quote,Source; UI controls inspected,P2,Clipboard feedback and error handling source review; no OS clipboard fault injection
J52,Output,Markdown/code/table/link,Receive rich answer > read/open/copy,Legible wrapping; working supported links,Long unbroken strings; missing local file; wide table,Typography fixture + visual review; link matrix pending,P2,Typography and generated-artifact fixtures; visual review
J53,Output,Structured workspace view,Request table/metrics/checklist/timeline,Validated content and useful empty/failure behavior,Malformed payload; many rows; partial output,Generated-artifact fixture + source,P2,Typography and generated-artifact fixtures; visual review
J54,Output,Blocked/failed/stopped completion,Run terminates > inspect all surfaces,One consistent outcome; clear next action,Provider says cannot; unknown tool outcome; cancellation,Live Blocked vs Work delivered mismatch F06,P1,"Full crew, task, meeting, activity and historical renderer fixtures; controller outcome tests"
J55,Computer,Inspect active device,Computer button > settings,Accurate device/scope and provider support,Offline; revoked; Codex local vs OpenRouter remote,Live + computer fixtures,P2,"Computer, pairing and approval fixtures; shared dialog/pending feedback and revocation confirmation; real OS grants and external devices untouched"
J56,Computer,Pair/revoke private computer,Pair > endpoint/code > confirm; revoke,Clear readiness and revocation receipt,Expired code; invalid endpoint; network loss,Pair fixture + source; live pairing not repeated,P1,"Computer, pairing and approval fixtures; shared dialog/pending feedback and revocation confirmation; real OS grants and external devices untouched"
J57,Computer,Capability and OS permissions,Capability row > inspect/test/settings,Explain layered boundary and supported capability,Denied OS permission; unavailable platform; blocked policy,Source + tests; real OS grants not changed,P1,"Computer, pairing and approval fixtures; shared dialog/pending feedback and revocation confirmation; real OS grants and external devices untouched"
J58,Computer,Domain allowlist,Edit domains > Save,Validate targets and show saved/error state,Whitespace; invalid domain; sensitive target,Source; mutation pending,P1,"Computer, pairing and approval fixtures; shared dialog/pending feedback and revocation confirmation; real OS grants and external devices untouched"
J59,Computer,Spread crew over devices,Multiple online devices > enable > run,Honest attribution and isolation per seat,One device; device disconnect; Codex unsupported,Source; live multi-device pending,P2,"Computer, pairing and approval fixtures; shared dialog/pending feedback and revocation confirmation; real OS grants and external devices untouched"
J60,Computer,Approval decision,Action request > inspect target > Deny/Allow once/run,Exact argument-bound action and understandable scope,Duplicate decision; stale action; modal focus; revoke,Live Deny exercised + approval fixtures,P1,"Computer, pairing and approval fixtures; shared dialog/pending feedback and revocation confirmation; real OS grants and external devices untouched"
J61,Watch,Automatic opening,Start text/visual task > Watch decision,Only relevant screen surface opens; preference respected,Local SDK task; remote text-only task; small window,Live irrelevant auto-open F08,P2,"Native-watch, auto-watch, resizing, history and action fixtures across compact and wide viewports"
J62,Watch,Open/close/resize manually,Watch > resize > close/reopen,Stable layout and focus; no composer collision,640px width; max width; keyboard/pointer cancel,Watch fixtures; phone layout issue F11,P2,"Native-watch, auto-watch, resizing, history and action fixtures across compact and wide viewports"
J63,Watch,Live stream,Browser action > Live > zoom/Fit/full screen,"Right tab, clear loading/error, usable controls",Expiry; reload; offline; invalid signed URL,Source + fixtures; production path historical only,P1,"Native-watch, auto-watch, resizing, history and action fixtures across compact and wide viewports"
J64,Watch,Historical frames,History > previous/next > enlarge,Correct timestamp/frame; digest verified; retry works,Missing/corrupt image; no frames; archived seat,History fixtures + source,P1,"Native-watch, auto-watch, resizing, history and action fixtures across compact and wide viewports"
J65,Watch,Action timeline,Watch > action row > details,Intent/outcome readable; indeterminate never called success,Many actions; stale seat; remote receipt mismatch,Source + fixtures,P1,"Native-watch, auto-watch, resizing, history and action fixtures across compact and wide viewports"
J66,Phone,Start pairing,Watch > Control from phone > Pair,Pair only eligible active cloud task; visible pending state,Another active pairing; seat unavailable,Phone fixture + visual review; live historical,P1,Updated phone Chromium interaction suite and companion integration; rejected text retained; physical phones unverified
J67,Phone,QR claim and confirmation,Scan QR > desktop confirms phone,Single-use invitation; countdown/expiry clear,Expired/claimed invite; wrong phone; camera/browser,Source + prior relay proof; hardware pending,P1,Updated phone Chromium interaction suite and companion integration; rejected text retained; physical phones unverified
J68,Phone,Watch and approve,Phone frame > inspect action > allow/deny,Correct current task and exact approval,Stale approval; offline; frame loading,Source + previous scripted coverage; hardware pending,P1,Updated phone Chromium interaction suite and companion integration; rejected text retained; physical phones unverified
J69,Phone,Take control,Phone Take control > wait > input enabled,One owner; pending action settles before input,In-flight model/tool; reconnect; stale epoch,Source + existing tests; hardware pending,P1,Updated phone Chromium interaction suite and companion integration; rejected text retained; physical phones unverified
J70,Phone,Tap/zoom/scroll/keys,Inspect frame > gesture or key,Targets map to current frame; pending feedback,Pinch/rotation; tiny target; stale frame; repeated tap,Source + phone UI suite historical; hardware pending,P1,Updated phone Chromium interaction suite and companion integration; rejected text retained; physical phones unverified
J71,Phone,Text entry,Focus target > masked input > Type,Correct field; no durable human text exposure,Software keyboard; failed delivery; long text; focus loss,Source + scripted prior checks; hardware pending,P1,Updated phone Chromium interaction suite and companion integration; rejected text retained; physical phones unverified
J72,Phone,Return with instruction,Note > Return to Grokky,Fresh observation and discarded stale model plan,No note; pending command; disconnect mid-return,Source + existing handoff tests; hardware pending,P1,Updated phone Chromium interaction suite and companion integration; rejected text retained; physical phones unverified
J73,Phone,Offline/background/sleep,Background phone or sleep Mac > reconnect,Disable stale input; no silent agent resume,Expired session; tab closed; device switch,Source + scripted previous coverage; physical pending,P1,Updated phone Chromium interaction suite and companion integration; rejected text retained; physical phones unverified
J74,Phone,Stop/disconnect/forget,Stop task or disconnect or forget,Explain local forget vs server revocation and stop,Human ownership; in-flight action; uncertain receipt,Source; lifecycle tests; physical pending,P1,Updated phone Chromium interaction suite and companion integration; rejected text retained; physical phones unverified
J75,Routines,Create schedule,Routines > name/instruction/cadence > Create,Clear conversation/provider binding; valid next occurrence,No weekdays; invalid time; unsupported permission,Routines fixture + visual review; no real routine created,P2,"Routine/attention/setup fixtures, feature-keyboard interaction and scheduler tests; unsaved routine protection"
J76,Routines,Run/pause/enable/delete,Routine row > action,Immediate feedback; no duplicates; deletion scope clear,Already running; save error; failure streak,Source; deterministic tests; live pending,P2,"Routine/attention/setup fixtures, feature-keyboard interaction and scheduler tests; unsaved routine protection"
J77,Routines,Schedule history and recovery,Next occurrence > inspect outcome,Missed windows skipped; failures actionable,App asleep/closed; DST/timezone; missing provider,Source + scheduler tests; live temporal checks pending,P1,"Routine/attention/setup fixtures, feature-keyboard interaction and scheduler tests; unsaved routine protection"
J78,Attention,Inspect and resolve,Attention > item > Open chat/Resolve,Correct source and next step; resolved count accurate,Deleted chat; repeated resolve; error,Attention fixture + source,P2,"Routine/attention/setup fixtures, feature-keyboard interaction and scheduler tests; unsaved routine protection"
J79,Setup,Quick setup,Setup > provider/project/options > Finish,Only necessary setup blocks completion,No provider; optional project; failed save,Setup fixture + source,P2,"Routine/attention/setup fixtures, feature-keyboard interaction and scheduler tests; unsaved routine protection"
J80,Capabilities,Skills discovery/search/toggle,Skills > search > inspect > toggle,Correct scope and provider boundary; local busy state,Large catalog; unavailable skill; save error,Skills fixture + source,P2,Skills/MCP/connectors fixtures and settings theme matrix; real external configuration not mutated
J81,Capabilities,MCP discovery/toggle,MCP servers > inspect > toggle,Explain future-run behavior and tool permission,Stdio/HTTP failure; large catalog; secret-safe errors,MCP fixture + source; live connections not changed,P1,Skills/MCP/connectors fixtures and settings theme matrix; real external configuration not mutated
J82,Capabilities,Connectors,Connectors > inspect > toggle,Connected/enabled/provider compatibility are distinct,Unavailable plugin; expired connection; offline,Connectors fixture + source,P2,Skills/MCP/connectors fixtures and settings theme matrix; real external configuration not mutated
J83,Appearance,Theme and accent,Settings > theme/accent > inspect all surfaces,Stable contrast and component hierarchy across themes,System changes; each accent; disabled/focus/error states,Light/accent fixtures; exhaustive matrix pending,P2,Two themes x five accents x six settings sections at 640px and 1440px; existing appearance fixtures
J84,Accessibility,Keyboard-only work,Tab/Shift+Tab/arrows/Escape through full journey,No traps outside modals or escape from modal; return focus,Nested menus; hidden controls; disabled states,Source gaps F09/F10; some crew fixtures pass,P1,"Nested dialog, picker, image focus, 200% zoom and emulated reduced-motion fixtures; actual screen reader and native IME pending"
J85,Accessibility,Zoom/reduced motion/screen reader,OS preferences > use core journeys,Readable/reflowed content; no essential animation dependency,200% zoom; high contrast; long announcements,Source reduced-motion rules; actual AT pending,P2,"Nested dialog, picker, image focus, 200% zoom and emulated reduced-motion fixtures; actual screen reader and native IME pending"
J86,Performance,Long working session,Many chats/messages/agents > type/switch/resize,Meets declared local latency budgets; stable memory,Large images; event bursts; stream loading,Profiling pending; no percentile claim,P2,30-sample Settings click timing fixture; sustained long-session performance remains pending
J87,Release,Upgrade/restart/platform,Package > verify runtime > install > reopen,"Keep data, credentials and truthful interrupted state",Windows/macOS; rollback; version mismatch,Previous installation proof; this audit did not reinstall,P1,0.1.7 source and package verification; installation/remote CI results recorded in release handoff
